restaurant_name,area,parking_id,hour,day_of_week,is_weekend,occupied_slots,total_slots,occupancy_rate,is_peak_hour
Serenitea4u,indiranagar,1036,3,1,0,95,187,0.50802139,0
The Ants Cafe & Store,indiranagar,444,11,4,0,112,228,0.49122807,0
Pavan Tiffin Center,hsr,2298,17,4,0,158,225,0.702222222,1
Brown Crust Cafe,indiranagar,2454,5,4,0,71,161,0.440993789,0
SKS Veg Corner,new bel road,1269,20,3,0,103,105,0.980952381,1
Abhiruchi Andhra Mess,whitefield,2676,11,6,1,53,97,0.546391753,0
US Pizza,marathahalli,2774,13,3,0,63,107,0.588785047,0
Blu Dale Fast Food,koramangala 4th block,2681,16,6,1,199,245,0.812244898,0
Hammered,hsr,2400,23,1,0,56,198,0.282828283,0
Quickie's,lavelle road,780,11,4,0,13,170,0.076470588,0
Samosa King,"byresandra,tavarekere,madiwala",514,9,0,0,20,218,0.091743119,1
Cafe At The Atelier,bellandur,2049,8,1,0,115,290,0.396551724,1
iSpice Resto Cafe,indiranagar,1319,22,5,1,64,240,0.266666667,0
Ciclo Life,old airport road,1983,14,5,1,31,211,0.146919431,0
Aami Kolkata,bannerghatta road,830,13,6,1,171,250,0.684,0
Thanima Garden Restaurant,electronic city,232,15,2,0,56,213,0.262910798,0
Breads and Banter,brookefield,888,23,1,0,136,221,0.615384615,0
Esplanade,indiranagar,65,16,2,0,26,258,0.100775194,0
Aahara Vihar,malleshwaram,1237,12,2,0,21,261,0.08045977,0
Harshi Super Sandwich,banashankari,2439,14,3,0,163,242,0.673553719,0
The Waffle Yard,new bel road,2718,5,1,0,84,286,0.293706294,0
KF's Biryani's and Kababs,"byresandra,tavarekere,madiwala",940,3,4,0,113,133,0.84962406,0
Karama Restaurant,"byresandra,tavarekere,madiwala",1265,16,3,0,211,270,0.781481481,0
Keep It Straight Cafe,"byresandra,tavarekere,madiwala",379,18,1,0,72,158,0.455696203,1
NoLimmits Lounge and Club,indiranagar,480,23,5,1,177,298,0.593959732,0
Story Time,bellandur,1644,11,5,1,160,220,0.727272727,0
Sattvam Bakes,malleshwaram,2778,17,3,0,33,158,0.208860759,1
Basmati Restaurant,bellandur,459,2,5,1,69,188,0.367021277,0
Smoothie Hub,"byresandra,tavarekere,madiwala",327,14,6,1,26,124,0.209677419,0
Yo! Chow,brookefield,1201,0,1,0,17,244,0.069672131,0
Silicon Spicy Bite & Sip,electronic city,2298,17,4,0,158,225,0.702222222,1
Shawarma Bae,"byresandra,tavarekere,madiwala",1063,6,2,0,163,291,0.560137457,0
Zu's Doner Kebaps,malleshwaram,981,20,5,1,63,277,0.227436823,1
Ghar Ka Chulha,bellandur,916,3,3,0,207,263,0.787072243,0
Darbar,banashankari,1364,19,0,0,76,269,0.282527881,1
Foody Baba,whitefield,2396,19,1,0,91,240,0.379166667,1
Prawn Crunch,"byresandra,tavarekere,madiwala",2499,2,6,1,22,223,0.098654709,0
KC Das - Sweet Bite,church street,103,6,4,0,37,222,0.166666667,0
Bharanis,old airport road,352,15,0,0,223,251,0.888446215,0
Cupcake Bliss,brookefield,1078,21,2,0,229,275,0.832727273,0
Temptation,brookefield,1331,10,6,1,195,226,0.862831858,1
Food Dig,whitefield,744,23,2,0,69,208,0.331730769,0
Orchard Fresh,brookefield,1241,16,2,0,99,117,0.846153846,0
Night Spoon,koramangala 5th block,1995,2,6,1,139,167,0.832335329,0
Mom Made Food,frazer town,1398,5,2,0,244,249,0.979919679,0
TFI - The Fresh Ice Cream,bannerghatta road,1939,18,3,0,199,244,0.81557377,1
Slanz Cafe,malleshwaram,2522,1,0,0,93,168,0.553571429,0
Feastaurant,"byresandra,tavarekere,madiwala",39,14,1,0,84,270,0.311111111,0
Brindavan Veg,kalyan nagar,1092,11,3,0,77,127,0.606299213,0
Amravathi Restaurants & Caterers,"byresandra,tavarekere,madiwala",1310,13,5,1,31,64,0.484375,0
Utopia,brookefield,1247,22,2,0,99,158,0.626582278,0
Khan's Biryani,jayanagar,605,4,4,0,81,271,0.298892989,0
Familiar Food Court,hsr,1276,3,4,0,170,196,0.867346939,0
Terminus Tiffin Meal Service,new bel road,73,0,3,0,65,224,0.290178571,0
Bismilla Vaniyambadi Biriyani,indiranagar,2763,2,3,0,49,293,0.167235495,0
Shreya Ranna Ghar,brookefield,1468,3,5,1,91,158,0.575949367,0
Hotel AL-Zaioa,kalyan nagar,1650,17,5,1,138,279,0.494623656,1
Meghana Biriyanis,kalyan nagar,2731,18,1,0,42,255,0.164705882,1
Maravanthe,brigade road,2762,1,3,0,22,69,0.31884058,0
Pathy's Kitchen,brigade road,2645,4,5,1,62,217,0.285714286,0
Corner House Ice Cream,frazer town,846,5,0,0,48,96,0.5,0
Brik Oven,indiranagar,97,0,4,0,165,248,0.665322581,0
Apple Cafe,marathahalli,1363,18,0,0,156,245,0.636734694,1
Game Of Tandoors,brookefield,1153,0,6,1,88,129,0.682170543,0
S K Ruchi,kalyan nagar,2407,6,2,0,24,261,0.091954023,0
The Kim Chi Chef,whitefield,1305,8,5,1,205,287,0.714285714,1
K V Canteen,brigade road,2285,4,4,0,10,112,0.089285714,0
Little Onnion,whitefield,2748,11,2,0,39,80,0.4875,0
Chapati House,"byresandra,tavarekere,madiwala",1130,1,5,1,37,188,0.196808511,0
Sri Udupi Park,bellandur,92,19,3,0,203,298,0.681208054,1
Momo Junction,"byresandra,tavarekere,madiwala",1200,23,0,0,44,142,0.309859155,0
Salem Kitchen,brookefield,1301,4,5,1,20,161,0.124223602,0
Messy Bowl,jayanagar,1742,13,2,0,73,122,0.598360656,0
Mist n Creams,whitefield,1334,13,6,1,169,297,0.569023569,0
Eden Park,brigade road,1479,14,5,1,120,177,0.677966102,0
Sri's Kitchen,jayanagar,1453,12,4,0,145,270,0.537037037,0
Iyer Mess,malleshwaram,99,2,4,0,15,77,0.194805195,0
Zen - The Leela Palace,indiranagar,1119,14,4,0,58,65,0.892307692,0
Veganbreak24x7,banashankari,1258,9,3,0,110,242,0.454545455,1
Wok N Roll,kalyan nagar,1360,15,0,0,47,228,0.206140351,0
The Egg Factory,"byresandra,tavarekere,madiwala",2584,15,2,0,130,213,0.610328638,0
Fitnest,"byresandra,tavarekere,madiwala",1135,6,5,1,162,264,0.613636364,0
BanBay,church street,2277,20,3,0,12,150,0.08,1
Naati Manae,"byresandra,tavarekere,madiwala",161,16,6,1,161,226,0.712389381,0
Green Hyderabad Biryani House,brookefield,2278,21,3,0,67,133,0.503759398,0
Sunmart Ice Cream Parlour,new bel road,176,7,0,0,36,70,0.514285714,1
Sandwich Mama's And Frozen Monster,banashankari,1121,16,4,0,119,148,0.804054054,0
Toscano - Mojito Bar,whitefield,1867,18,0,0,80,178,0.449438202,1
Cafe Treat - The Pride Hotel,church street,1120,15,4,0,16,117,0.136752137,0
Chai Days,indiranagar,1123,18,4,0,20,233,0.08583691,1
Krishna Kuteera,bannerghatta road,1384,15,1,0,86,234,0.367521368,0
7 Hills Andhra Mess,indiranagar,554,1,2,0,34,288,0.118055556,0
Guns N Roses,indiranagar,877,12,1,0,171,211,0.81042654,0
Kalmane Koffees,brigade road,475,18,5,1,15,66,0.227272727,1
Amaravathi Mess,electronic city,2615,22,3,0,179,217,0.824884793,0
Bismilla Kabab & Biryani Centre,kalyan nagar,1206,5,1,0,132,277,0.476534296,0
The Andhra Bhojanam,brookefield,1876,3,1,0,44,141,0.312056738,0
Little Kitchen,"byresandra,tavarekere,madiwala",2316,11,5,1,71,231,0.307359307,0
Baba Ka Dhaba,bannerghatta road,1939,18,3,0,199,244,0.81557377,1
Sri Sairam's Chats and Juice,malleshwaram,2354,1,0,0,225,255,0.882352941,0
The Chocolate Mansion,malleshwaram,1070,13,2,0,28,154,0.181818182,0
Kudla - Hotel Ramanashree,basavanagudi,2022,5,0,0,95,142,0.669014085,0
Kwality Wall's Swirl's Happiness Station,banashankari,607,6,4,0,200,212,0.943396226,0
7 Hills Andhra Mess,indiranagar,1504,15,6,1,192,217,0.884792627,0
Chicken Corner,lavelle road,512,7,0,0,159,233,0.682403433,1
Odisha Platter,brookefield,2506,9,6,1,158,288,0.548611111,1
Nandini Deluxe,brookefield,1876,3,1,0,44,141,0.312056738,0
WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,lavelle road,1139,10,5,1,106,259,0.409266409,1
The Rendezvous,"byresandra,tavarekere,madiwala",2651,10,5,1,17,112,0.151785714,1
Uptown Sliders & Shakes,bellandur,2549,4,1,0,60,107,0.560747664,0
Smoke-A-Pot,"byresandra,tavarekere,madiwala",1686,5,0,0,177,266,0.665413534,0
CakeZone,electronic city,1707,2,1,0,13,117,0.111111111,0
Dilish Kitchens,bannerghatta road,1057,0,2,0,21,237,0.088607595,0
Pancuzzi,bannerghatta road,2080,15,2,0,39,248,0.157258065,0
Samosa Corner,bellandur,655,6,6,1,30,254,0.118110236,0
Doff Pub and Lounge,indiranagar,1049,16,1,0,165,284,0.580985915,0
CTR,malleshwaram,407,22,2,0,207,278,0.744604317,0
Tawa Sagara,jayanagar,829,12,6,1,89,143,0.622377622,0
Kapoor's Punjabi Rolls,kalyan nagar,1423,6,3,0,34,198,0.171717172,0
Namma Madurai,marathahalli,1910,13,2,0,125,182,0.686813187,0
New Green Leaf Restaurant,electronic city,50,1,2,0,145,262,0.553435115,0
Daba Delights,"byresandra,tavarekere,madiwala",2696,7,0,0,135,237,0.569620253,1
RockSalt,brigade road,2790,5,4,0,92,290,0.317241379,0
Shebestan - Sterlings MAC Hotel,indiranagar,1817,16,5,1,26,237,0.109704641,0
Masala Central,brigade road,1154,1,6,1,119,243,0.489711934,0
The Grillo,banashankari,1215,14,1,0,25,209,0.119617225,0
Wood Fire Pizza,kalyan nagar,179,10,0,0,24,216,0.111111111,1
Bhikaram Chandmal Bhujiawala,indiranagar,2470,21,4,0,89,143,0.622377622,0
Sunehri,brigade road,1940,19,3,0,56,207,0.270531401,1
GrannyzHut,"byresandra,tavarekere,madiwala",73,0,3,0,65,224,0.290178571,0
Caramel Shake,basavanagudi,1300,3,5,1,131,196,0.668367347,0
Neer Dosa Fish Land,"byresandra,tavarekere,madiwala",1377,8,1,0,25,239,0.10460251,1
De Street Cafe,"byresandra,tavarekere,madiwala",1276,3,4,0,170,196,0.867346939,0
Doctor Juice,kalyan nagar,948,11,4,0,26,235,0.110638298,0
re:cess - Hilton Bangalore Embassy GolfLinks,koramangala 4th block,693,20,0,0,47,270,0.174074074,1
Rayalseema Kitchens,marathahalli,1487,22,5,1,247,281,0.879003559,0
Telugu Velugu,bellandur,1872,23,0,0,200,206,0.970873786,0
Thanima Garden Restaurant,electronic city,1600,15,3,0,101,197,0.512690355,0
Delhi Kitchen,brookefield,1128,23,4,0,182,298,0.610738255,0
Lemon Krust,whitefield,1518,5,0,0,108,196,0.551020408,0
Talk To The Hand,lavelle road,2767,6,3,0,156,213,0.732394366,0
Aahara Vihar,malleshwaram,588,11,3,0,117,220,0.531818182,0
Maa Biryani Hyderabadi,electronic city,16,15,0,0,177,191,0.926701571,0
Keerthi Restaurant,bellandur,2701,12,0,0,27,181,0.149171271,0
Troll,brigade road,2434,9,3,0,72,132,0.545454545,1
Cafe At The Atelier,bellandur,1241,16,2,0,99,117,0.846153846,0
Priya's Punjabi,brigade road,241,0,3,0,113,274,0.412408759,0
Cafe Bengaluru,rajajinagar,2570,1,2,0,78,200,0.39,0
Varenyam,electronic city,1565,4,2,0,66,106,0.622641509,0
Satrangi,malleshwaram,1,0,0,0,112,191,0.586387435,0
Mahek E Punjab,hsr,1860,11,0,0,81,178,0.45505618,0
Dosa Time,bellandur,1507,18,6,1,197,242,0.814049587,1
Smaaash,whitefield,444,11,4,0,112,228,0.49122807,0
Priyadarshini Grand,rajajinagar,729,8,2,0,172,293,0.587030717,1
Chattorey - The Family Restaurant,brookefield,2531,10,0,0,109,173,0.630057803,1
4 States,sarjapur road,411,2,3,0,174,219,0.794520548,0
Chaithanya Delicacy,brigade road,399,14,2,0,80,99,0.808080808,0
Mallnad Hotel,rajajinagar,508,3,0,0,44,280,0.157142857,0
Cafe Mondo,jayanagar,614,13,4,0,21,120,0.175,0
MoMo Cafe - Courtyard by Marriott,sarjapur road,498,17,6,1,141,147,0.959183673,1
Kolkata Restaurant,basavanagudi,1600,15,3,0,101,197,0.512690355,0
Only Sharjah,bannerghatta road,1774,21,3,0,127,252,0.503968254,0
Bake and Fry,frazer town,1913,16,2,0,108,283,0.381625442,0
Cashmere Nites,"byresandra,tavarekere,madiwala",582,5,3,0,236,257,0.918287938,0
Shree Cool Point,banashankari,663,14,6,1,79,151,0.523178808,0
Melange - Radisson Blu,marathahalli,1163,10,6,1,73,277,0.263537906,1
Rasa Cafe,kammanahalli,198,5,1,0,121,121,1,0
Turkish Shawarma,basavanagudi,1855,6,0,0,63,103,0.611650485,0
Midnight Pizza Slurpp,koramangala 4th block,2012,19,6,1,174,283,0.614840989,1
FireHouse - Bar & Kitchen,kalyan nagar,1683,2,0,0,24,114,0.210526316,0
Homfrez.com,"byresandra,tavarekere,madiwala",842,1,0,0,105,152,0.690789474,0
Nisarga,rajajinagar,259,18,3,0,65,259,0.250965251,1
The Good Grain,brigade road,1840,15,6,1,35,128,0.2734375,0
A Bar,"byresandra,tavarekere,madiwala",2707,18,0,0,57,236,0.241525424,1
Kolkata Famous Kathi Rolls,electronic city,841,0,0,0,19,97,0.195876289,0
ABC Grand,old airport road,1321,0,6,1,104,213,0.488262911,0
Patisserie Nitash,frazer town,1574,13,2,0,56,99,0.565656566,0
Hotel Avakay,electronic city,11,10,0,0,103,113,0.911504425,1
Smoothie Hub,"byresandra,tavarekere,madiwala",189,20,0,0,104,126,0.825396825,1
Tibetan Mother's Kitchen,"byresandra,tavarekere,madiwala",1060,3,2,0,192,208,0.923076923,0
Bahar Cafe,bellandur,2,1,0,0,22,169,0.130177515,0
Bearys Restaurant,frazer town,2183,22,6,1,63,120,0.525,0
The Vape,bellandur,849,8,0,0,74,255,0.290196078,1
Havmor,bannerghatta road,1740,11,2,0,112,142,0.788732394,0
Mumbai Badam Milk & Lassi Center,banashankari,1084,3,3,0,61,95,0.642105263,0
Vakulaa Veg Restaurant,basavanagudi,62,13,2,0,112,186,0.602150538,0
MM Bar & Restaurant,brigade road,799,6,5,1,153,253,0.604743083,0
Wow Momo,bannerghatta road,902,13,2,0,160,167,0.958083832,0
Hot Rolls & House Of Kebabs,bannerghatta road,2444,19,3,0,126,263,0.479087452,1
The Raj Pavilion - ITC Windsor,malleshwaram,2086,21,2,0,155,218,0.711009174,0
C K Bake & Juice,"byresandra,tavarekere,madiwala",339,2,0,0,23,233,0.098712446,0
Masala Oota,brigade road,14,13,0,0,64,101,0.633663366,0
Coastal Paradise Family Restaurant,koramangala 7th block,1579,18,2,0,59,246,0.239837398,1
Pandit Ji Sweets & Namkeen,electronic city,2745,8,2,0,97,138,0.702898551,1
The Dhaba,brookefield,2267,10,3,0,88,256,0.34375,1
Sandwich Shop,bannerghatta road,2474,1,5,1,52,86,0.604651163,0
Coorg Lunch Home,kalyan nagar,644,19,5,1,46,177,0.259887006,1
Samskruthi Grand,new bel road,2701,12,0,0,27,181,0.149171271,0
Namana Restaurant,rajajinagar,211,18,1,0,222,299,0.742474916,1
Shater Grill House,"byresandra,tavarekere,madiwala",1904,7,2,0,236,286,0.825174825,1
Qube Cafe,"byresandra,tavarekere,madiwala",654,5,6,1,115,237,0.485232068,0
7 Spice,kalyan nagar,2049,8,1,0,115,290,0.396551724,1
Pizza Baker's,brookefield,21,20,0,0,189,236,0.800847458,1
RB Food Point,"byresandra,tavarekere,madiwala",459,2,5,1,69,188,0.367021277,0
Indus Family Restaurant,"byresandra,tavarekere,madiwala",697,0,1,0,88,114,0.771929825,0
Anjappaar,marathahalli,2519,22,6,1,57,258,0.220930233,0
White Oak Cafe,kalyan nagar,1471,6,5,1,54,114,0.473684211,0
Nawabi Zaica,brookefield,2311,6,5,1,65,195,0.333333333,0
Sultan - Palace Darbar Restaurant,kammanahalli,1831,6,6,1,143,172,0.831395349,0
Hunger2Eat,"byresandra,tavarekere,madiwala",320,7,6,1,108,205,0.526829268,1
De Street Cafe,"byresandra,tavarekere,madiwala",618,17,4,0,72,114,0.631578947,1
Orchard Fresh,brookefield,2239,6,2,0,144,273,0.527472527,0
Dream Coffee House,malleshwaram,1004,19,6,1,38,205,0.185365854,1
Combo Studio,bannerghatta road,2098,9,3,0,116,177,0.655367232,1
24 Hours Cake Delivery,indiranagar,1390,21,1,0,178,277,0.642599278,0
Lono,indiranagar,1585,0,3,0,146,245,0.595918367,0
NoLimmits Lounge and Club,indiranagar,179,10,0,0,24,216,0.111111111,1
Bundar,koramangala 4th block,2749,12,2,0,181,262,0.690839695,0
Smoke - The Sizzler House,marathahalli,616,15,4,0,52,184,0.282608696,0
Jodhpur Sweets,electronic city,2536,15,0,0,53,226,0.234513274,0
Tandoori Chowk,marathahalli,144,23,5,1,141,226,0.623893805,0
Kargeens,malleshwaram,1691,10,0,0,141,199,0.708542714,1
Home Made Food,frazer town,1256,7,3,0,95,182,0.521978022,1
Baahubelly,lavelle road,897,8,2,0,173,284,0.60915493,1
XO Belgian Waffle,bellandur,922,9,3,0,151,202,0.747524752,1
The Tao Terraces,lavelle road,2641,0,5,1,11,225,0.048888889,0
RoadHouse Grill,brookefield,1700,19,0,0,29,207,0.140096618,1
Families Food Court,hsr,1775,22,3,0,93,110,0.845454545,0
Kolbeh,banashankari,2458,9,4,0,19,92,0.206521739,1
Hotel Manu Residency,whitefield,687,14,0,0,189,255,0.741176471,0
Toast & Tonic,brigade road,2168,7,6,1,61,161,0.378881988,1
Subhash Mess,new bel road,1189,12,0,0,154,219,0.703196347,0
Food Box -The Taste Of Odisha,marathahalli,350,13,0,0,15,68,0.220588235,0
Thanco's Natural Ice Creams,banashankari,2473,0,5,1,87,115,0.756521739,0
Golden Paradise,whitefield,783,14,4,0,163,196,0.831632653,0
Glassy,bellandur,2519,22,6,1,57,258,0.220930233,0
Hamara Kozhikode,electronic city,2090,1,3,0,79,188,0.420212766,0
Vasudev Adiga's,jp nagar,948,11,4,0,26,235,0.110638298,0
Big Bite,rajajinagar,645,20,5,1,38,53,0.716981132,1
Maashpacheez,marathahalli,1146,17,5,1,26,108,0.240740741,1
M. R. G Sweets Angadi,jayanagar,2762,1,3,0,22,69,0.31884058,0
Nandana Mess,sarjapur road,2049,8,1,0,115,290,0.396551724,1
Punjabi Charchay,whitefield,395,10,2,0,161,241,0.668049793,1
Tasty Corner,new bel road,629,4,5,1,127,237,0.535864979,0
Canopy Flavours,hsr,1278,5,4,0,199,237,0.839662447,0
Sky Juice Corner,"byresandra,tavarekere,madiwala",2257,0,3,0,106,171,0.619883041,0
Cakes & Candles,"byresandra,tavarekere,madiwala",533,4,1,0,78,124,0.629032258,0
Waah Chef,old airport road,1223,22,1,0,48,166,0.289156627,0
Moonlight Kitchens,indiranagar,2497,0,6,1,53,232,0.228448276,0
Sri Krishna Foodline,brigade road,1647,14,5,1,25,268,0.093283582,0
Udupi Gokul Cafe,"byresandra,tavarekere,madiwala",577,0,3,0,219,224,0.977678571,0
Chilli Park,electronic city,1256,7,3,0,95,182,0.521978022,1
"R Bar - Renaissance Hotel, Bengaluru",malleshwaram,415,6,3,0,77,136,0.566176471,0
Indian Kitchen - Hotel Presidency,electronic city,1136,7,5,1,63,104,0.605769231,1
Foodies Choice,kalyan nagar,1663,6,6,1,54,102,0.529411765,0
Sai Foods,brookefield,594,17,3,0,85,175,0.485714286,1
Hotel Fish Land,malleshwaram,816,23,5,1,114,262,0.435114504,0
The Paramount Hotel,indiranagar,1224,23,1,0,57,143,0.398601399,0
Desi Breakk,"byresandra,tavarekere,madiwala",184,15,0,0,53,241,0.219917012,0
Bharath Restaurant,new bel road,623,22,4,0,17,192,0.088541667,0
Kaifu,malleshwaram,611,10,4,0,72,75,0.96,1
King,electronic city,947,10,4,0,108,141,0.765957447,1
Lepcha Foods & Refreshment,indiranagar,147,2,6,1,164,279,0.58781362,0
Shabari Kitchen,"byresandra,tavarekere,madiwala",984,23,5,1,166,250,0.664,0
Patio - The Resto Cafe,kalyan nagar,2383,6,1,0,51,220,0.231818182,0
The Tucck Box,jp nagar,849,8,0,0,74,255,0.290196078,1
Skyye,brigade road,718,21,1,0,51,277,0.184115523,0
Alter Ego D'Deli,kalyan nagar,685,12,0,0,31,185,0.167567568,0
Paris Restaurant,malleshwaram,231,14,2,0,117,176,0.664772727,0
Nadella's Kitchen,bannerghatta road,749,4,3,0,25,147,0.170068027,0
Angaar Indian Grill & Restaurant,kalyan nagar,2074,9,2,0,179,218,0.821100917,1
Sri Venkateshwara Sweet Meat Stall,jayanagar,12,11,0,0,158,210,0.752380952,0
Paratha Engineer,marathahalli,1771,18,3,0,108,225,0.48,1
Kidambi's Kitchen,jayanagar,1072,15,2,0,143,297,0.481481481,0
Bhaiya Ji Food Court,brigade road,98,1,4,0,26,141,0.184397163,0
A1 Garam Masala,jp nagar,2074,9,2,0,179,218,0.821100917,1
Ootada Mane,malleshwaram,2477,4,5,1,87,115,0.756521739,0
Dawat E Biryani,koramangala 4th block,872,7,1,0,87,149,0.583892617,1
Tuk-Tuk,whitefield,169,0,0,0,19,58,0.327586207,0
Karnataka Biryani Point,malleshwaram,147,2,6,1,164,279,0.58781362,0
Hotel A-1,electronic city,829,12,6,1,89,143,0.622377622,0
Ganesh Grand,banashankari,294,5,5,1,195,272,0.716911765,0
Petoo,brigade road,681,8,0,0,71,208,0.341346154,1
Arbor Brewing Company,brigade road,2072,7,2,0,48,135,0.355555556,1
Majlish,whitefield,78,5,3,0,174,223,0.780269058,0
Bawarchi Biryani,"byresandra,tavarekere,madiwala",1020,11,0,0,13,227,0.057268722,0
Nellore Dosa Camp,"byresandra,tavarekere,madiwala",1592,7,3,0,121,264,0.458333333,1
Tintin Da Dhaba,marathahalli,2351,22,6,1,129,135,0.955555556,0
Shree Udupi South kitchen,banashankari,2599,6,3,0,128,176,0.727272727,0
Moksha,jp nagar,1551,14,1,0,73,173,0.421965318,0
Sea Rock,malleshwaram,1412,19,2,0,121,273,0.443223443,1
Brews N Bites,bannerghatta road,1612,3,4,0,182,251,0.725099602,0
Raj Sweets,brookefield,2426,1,3,0,51,136,0.375,0
Vaho Kafe & Pressery,bannerghatta road,2392,15,1,0,186,275,0.676363636,0
Urvashi,hsr,1610,1,4,0,47,111,0.423423423,0
The Square Table,brookefield,997,12,6,1,138,153,0.901960784,0
Samrat Restaurant,church street,1396,3,2,0,10,103,0.097087379,0
Aramane Restaurant,bannerghatta road,1555,18,1,0,160,175,0.914285714,1
Frozen Coast,malleshwaram,953,16,4,0,199,219,0.908675799,0
Shiva's Naram Garam,kalyan nagar,2618,1,4,0,115,201,0.572139303,0
Black Cup Cafe,"byresandra,tavarekere,madiwala",2098,9,3,0,116,177,0.655367232,1
Mango Greens,bannerghatta road,1431,14,3,0,68,85,0.8,0
NISO Chinese Restaurant,whitefield,520,15,0,0,85,164,0.518292683,0
The Food Factory,hsr,2682,17,6,1,131,236,0.555084746,1
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© S,koramangala 6th block,447,14,4,0,66,147,0.448979592,0
Shri Vishnu Grand,bellandur,524,19,0,0,27,157,0.171974522,1
Tasty King,lavelle road,1530,17,0,0,25,51,0.490196078,1
Chowpatty,"byresandra,tavarekere,madiwala",230,13,2,0,121,210,0.576190476,0
Deccan Spice,bannerghatta road,2766,5,3,0,51,231,0.220779221,0
Django,indiranagar,1348,3,0,0,132,150,0.88,0
Yum Kitchen,"byresandra,tavarekere,madiwala",686,13,0,0,189,264,0.715909091,0
Sweet N Swirl,banashankari,2286,5,4,0,70,71,0.985915493,0
Satrangi,malleshwaram,887,22,1,0,215,285,0.754385965,0
Koylas,brookefield,1114,9,4,0,125,144,0.868055556,1
Chaat Central,bannerghatta road,2421,20,2,0,233,264,0.882575758,1
Nouvelle Garden,"byresandra,tavarekere,madiwala",2434,9,3,0,72,132,0.545454545,1
Yataii - Shangri-La Hotel,lavelle road,2453,4,4,0,63,227,0.27753304,0
Tea Villa Cafe,jayanagar,1276,3,4,0,170,196,0.867346939,0
Fahad Hotel,"byresandra,tavarekere,madiwala",1858,9,0,0,231,269,0.858736059,1
Hotel Dwarka,banashankari,576,23,2,0,51,62,0.822580645,0
Shree Mandarathi Grand,banashankari,494,13,6,1,148,196,0.755102041,0
Cane Crussh,"byresandra,tavarekere,madiwala",2541,20,0,0,109,206,0.529126214,1
Chickpet Donne Biryani House,brookefield,1946,1,4,0,105,288,0.364583333,0
Sudhir Vada Pav & Paratha Center,brookefield,581,4,3,0,27,296,0.091216216,0
Aburrahaman,indiranagar,1161,8,6,1,73,271,0.269372694,1
Punjabi Thadka,brookefield,2027,10,0,0,192,226,0.849557522,1
Strikers Sports Bar and Music,brigade road,1141,12,5,1,23,183,0.12568306,0
Karaikudi Restaurant,electronic city,739,18,2,0,196,264,0.742424242,1
Hunger Stop,brookefield,2750,13,2,0,62,299,0.20735786,0
Food Paradise,whitefield,2674,9,6,1,47,298,0.157718121,1
Kinpeetos,"byresandra,tavarekere,madiwala",2792,7,4,0,12,266,0.045112782,1
Hyderabad Express,jayanagar,272,7,4,0,60,142,0.422535211,1
Mayura Grand Pure Veg Restaurant,koramangala 4th block,1508,19,6,1,196,246,0.796747967,1
Nilu Ki Rasoi,"byresandra,tavarekere,madiwala",2709,20,0,0,36,240,0.15,1
Neema Restaurant,sarjapur road,2687,22,6,1,161,190,0.847368421,0
Chaitanya Veg,brigade road,586,9,3,0,15,142,0.105633803,1
Benjarong,brigade road,1585,0,3,0,146,245,0.595918367,0
Indian Food,brookefield,1045,12,1,0,35,288,0.121527778,0
Hotel Hyperdine,indiranagar,1502,13,6,1,91,274,0.332116788,0
Wazir's,basavanagudi,1116,11,4,0,13,285,0.045614035,0
The Paramount Hotel,indiranagar,2785,0,4,0,14,160,0.0875,0
Kadai Crust - Amma Veetu Samayal,church street,2493,20,5,1,39,258,0.151162791,1
Toscano - Mojito Bar,whitefield,107,10,4,0,46,243,0.189300412,1
Mayura Vybhava,whitefield,454,21,4,0,123,223,0.551569507,0
Jalaram Sweets,banashankari,813,20,5,1,49,187,0.262032086,1
Kulhad Junction,electronic city,1068,11,2,0,107,133,0.804511278,0
JW Kitchen - JW Marriott Bengaluru,brigade road,2317,12,5,1,164,174,0.942528736,0
alt,whitefield,473,16,5,1,102,277,0.368231047,0
The Charcoal Factory,brigade road,2421,20,2,0,233,264,0.882575758,1
Magnolia,"byresandra,tavarekere,madiwala",1061,4,2,0,215,282,0.762411348,0
Hotel Zam Zam,frazer town,1483,18,5,1,44,132,0.333333333,1
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,indiranagar,528,23,0,0,32,119,0.268907563,0
Danny Lambas Punjabi Dhaba,brigade road,819,2,6,1,56,62,0.903225806,0
1TO3 Kitchen,marathahalli,2143,6,5,1,40,272,0.147058824,0
The Vape,bellandur,498,17,6,1,141,147,0.959183673,1
Ma-Arya Family Restaurant,"byresandra,tavarekere,madiwala",189,20,0,0,104,126,0.825396825,1
Dal Tadkaa,banashankari,1514,1,0,0,135,289,0.467128028,0
The Hunger Room,bannerghatta road,520,15,0,0,85,164,0.518292683,0
Master Chifoo,brookefield,426,17,3,0,105,293,0.358361775,1
Suvarna Sree Food Paradise,kalyan nagar,270,5,4,0,113,166,0.680722892,0
Foodhall,indiranagar,2727,14,1,0,40,121,0.330578512,0
OMG Biriyani,"byresandra,tavarekere,madiwala",2492,19,5,1,117,207,0.565217391,1
